Benchmark,Gate_Dense (0.0%),Gate_Sparse (50.6%),Gate_Sparse (81.3%),Gate_Sparse (91.0%),UP_Sparse (58.1%),UP_Sparse (90.1%),UP_Sparse (96.0%)
arc_challenge,0.5665529010238908,0.590443686006826,0.5247440273037542,0.4445392491467577,0.5554607508532423,0.5349829351535836,0.5127986348122867
arc_easy,0.8413299663299664,0.8383838383838383,0.7878787878787878,0.7087542087542088,0.8367003367003367,0.8228114478114478,0.8013468013468014
boolq,0.8525993883792049,0.845565749235474,0.7782874617737003,0.7024464831804281,0.8452599388379205,0.8357798165137614,0.8189602446483181
hellaswag,0.6487751443935471,0.667396932881896,0.6262696673969329,0.5628360884285999,0.6560446126269668,0.6549492133041227,0.6396136227843059
openbookqa,0.348,0.362,0.326,0.274,0.354,0.342,0.34
piqa,0.8248095756256801,0.8264417845484222,0.7965179542981502,0.7698585418933623,0.8264417845484222,0.8155603917301415,0.8128400435255713
sciq,0.968,0.97,0.918,0.835,0.966,0.946,0.935
winogrande,0.7640094711917916,0.7521704814522494,0.659037095501184,0.5714285714285714,0.7734806629834254,0.7205998421468035,0.7032359905288083
